annee;code_iris;nom_iris;numero_de_voie;indice_de_repetition;type_de_voie;libelle_de_voie;adresse;nombre_de_sites;consommation_annuelle_totale_de_ladresse_mwh;code_grand_secteur;code_categorie_consommation;code_secteur_naf2;code_commune;nom_commune;code_epci;code_departement;code_region;tri_des_adresses
2022;640010000;Aast (commune non irisée);;;;FOYER MUNICIPAL;FOYER MUNICIPAL;1;7.513;TERTIAIRE;ENT;84;64001;Aast;200067296;64;75;1
2024;640010000;Aast (commune non irisée);;;;FOYER MUNICIPAL;FOYER MUNICIPAL;1;5.079;TERTIAIRE;ENT;84;64001;Aast;200067296;64;75;1
2023;640010000;Aast (commune non irisée);;;;FOYER MUNICIPAL;FOYER MUNICIPAL;1;6.1;TERTIAIRE;ENT;84;64001;Aast;200067296;64;75;1
2021;550010000;Abainville (commune non irisée);39;;ROUTE;DE BAR;39 ROUTE DE BAR;1;140.098;AGRICULTURE;ENT;01;55001;Abainville;200066108;55;44;1
2023;550010000;Abainville (commune non irisée);;;RUE;D ABAINVILLE;RUE D ABAINVILLE;1;21.368;AGRICULTURE;ENT;01;55001;Abainville;200066108;55;44;2
2021;550010000;Abainville (commune non irisée);38;;ROUTE;DE BAR;38 ROUTE DE BAR;1;13.85;AGRICULTURE;ENT;01;55001;Abainville;200066108;55;44;2
2024;550010000;Abainville (commune non irisée);;;RUE;D ABAINVILLE;RUE D ABAINVILLE;1;1.334;AGRICULTURE;ENT;01;55001;Abainville;200066108;55;44;2
2022;550010000;Abainville (commune non irisée);;;RUE;D ABAINVILLE;RUE D ABAINVILLE;1;119.037;AGRICULTURE;ENT;01;55001;Abainville;200066108;55;44;2
2024;550010000;Abainville (commune non irisée);38;;ROUTE;DE BAR;38 ROUTE DE BAR;1;217.632;AGRICULTURE;ENT;01;55001;Abainville;200066108;55;44;3
2021;250010000;Abbans-Dessous (commune non irisée);13;B;RUE;JOUFFROY D ABBANS;13 B RUE JOUFFROY D ABBANS;1;200.702;AGRICULTURE;ENT;01;25001;Abbans-Dessous;200068070;25;27;3
2022;550010000;Abainville (commune non irisée);38;;ROUTE;DE BAR;38 ROUTE DE BAR;1;185.424;AGRICULTURE;ENT;01;55001;Abainville;200066108;55;44;3
2023;550010000;Abainville (commune non irisée);38;;ROUTE;DE BAR;38 ROUTE DE BAR;1;194.432;AGRICULTURE;ENT;01;55001;Abainville;200066108;55;44;3
2022;550010000;Abainville (commune non irisée);;;CITE;DU GRANIT;CITE DU GRANIT;1;2.193;INDUSTRIE;ENT;35;55001;Abainville;200066108;55;44;4
2021;440010000;Abbaretz (commune non irisée);4;;RUE;DE BELLEVUE;4 RUE DE BELLEVUE;1;18.218;TERTIAIRE;ENT;70;44001;Abbaretz;244400537;44;52;4
2024;550010000;Abainville (commune non irisée);;;;FABRIQUE DE MEUBLES;FABRIQUE DE MEUBLES;1;0.468;INDUSTRIE;ENT;31;55001;Abainville;200066108;55;44;4
2023;550010000;Abainville (commune non irisée);;;;FABRIQUE DE MEUBLES;FABRIQUE DE MEUBLES;1;1.333;INDUSTRIE;ENT;31;55001;Abainville;200066108;55;44;4
2024;550010000;Abainville (commune non irisée);;;;GRANITERIE;GRANITERIE;1;143.864;INDUSTRIE;ENT;23;55001;Abainville;200066108;55;44;5
2023;550010000;Abainville (commune non irisée);;;;GRANITERIE;GRANITERIE;1;144.344;INDUSTRIE;ENT;23;55001;Abainville;200066108;55;44;5
2022;550010000;Abainville (commune non irisée);;;;FABRIQUE DE MEUBLES;FABRIQUE DE MEUBLES;1;25.858;INDUSTRIE;ENT;31;55001;Abainville;200066108;55;44;5
2021;440010000;Abbaretz (commune non irisée);3;;PLACE;DE L EGLISE;3 PLACE DE L EGLISE;1;38.74;INDUSTRIE;ENT;10;44001;Abbaretz;244400537;44;52;5
2023;550010000;Abainville (commune non irisée);;;;ROUTE DE GONDRECOURT;ROUTE DE GONDRECOURT;1;210.315;INDUSTRIE;ENT;43;55001;Abainville;200066108;55;44;6
2022;550010000;Abainville (commune non irisée);;;;G R A N I T E R I E;G R A N I T E R I E;1;153.677;INDUSTRIE;ENT;23;55001;Abainville;200066108;55;44;6
