email,nom_commune,code_insee,departement,population,nom_maire,lat,lon
mairie@albussac.fr,Albussac,19004,19,725,,45.137329,1.836103
mairie.mandailles-stjulien@orange.fr,Mandailles-Saint-Julien,15096,15,260,,45.069398,2.657803
mairie.puy-malsignat@wanadoo.fr,Puy-Malsignat,23058,23,102,,46.037277,2.218005
mairie.champsanglard@orange.fr,Champsanglard,23025,23,1357,,46.274697,1.883055
mairie.leclaux@wanadoo.fr,Le Claux,15009,15,177,,45.159734,2.705767
mairie@chavagnac.fr,Chavagnac,15025,15,242,,45.153064,2.883194
mairie-poussanges23@orange.fr,Poussanges,23063,23,151,,45.826064,2.217342
mairie@saintjuliendetoursac.fr,Saint-Julien-de-Toursac,15021,15,665,,44.773992,2.20935
mairie@champagnaclanoaille.fr,Champagnac-la-Noaille,19010,19,2881,,45.306888,2.015309
mairie-chatelusmalvaleix@wanadoo.fr,Châtelus-Malvaleix,23022,23,389,,46.304822,2.024066
mairie.chenerailles@wanadoo.fr,Chénérailles,23058,23,102,,46.1138000488,2.17505002022
mairie.eygurande@wanadoo.fr,Eygurande,19064,19,72,,45.662371,2.452226
gourdieges.commune@orange.fr,Gourdièges,15026,15,177,,44.937097,2.881198
mairie.jabrun@wanadoo.fr,Jabrun,15007,15,122,,44.808208,2.960615
mairie-la-villeneuve@orange.fr,La Villeneuve,23017,23,167,,45.897796,2.408034
mairie.lieutades@wanadoo.fr,Lieutadès,15007,15,122,,44.840031,2.89817600000003
mairie@maussac.fr,Maussac,19008,19,213,,45.470613,2.140715
mairiedemautes@orange.fr,Mautes,23020,23,355,,45.9442672729,2.38533091545
mairieruynes@yahoo.fr,Ruynes-en-Margeride,15034,15,139,,45.0024688,3.2233475
mairie.versillat@gmail.com,Saint-Agnant-de-Versillat,23143,23,498,,46.2796368,1.51071379
mairie.saintamandin@orange.fr,Saint-Amandin,15040,15,99,,45.343477,2.694908
mairie@saint-cernin.fr,Saint-Cernin,15072,15,215,,45.050163,2.423592
st.geniez.o.merle@wanadoo.fr,Saint-Geniez-ô-Merle,19014,19,216,,45.083087,2.064571
mairie.saintpierrebellevue@wanadoo.fr,Saint-Pierre-Bellevue,23134,23,215,,45.917578,1.888493
mairie@thiezac.fr,Thiézac,15017,15,129,,45.015285,2.668201
admin@ville-tulle.fr,Tulle,19009,19,125,,,
mairie@velzic.fr,Velzic,15096,15,260,,45.00048483947788,2.552978981450023
commune.veyrieres19@wanadoo.fr,Veyrières,19002,19,352,,45.489359,2.392437
15villedieu.mairie@orange.fr,Villedieu,15002,15,224,,45.000061,3.063154
mairie@ydes.fr,Ydes,15111,15,202,,45.3460998,2.43612
secretariat.mairie@lestrois-saints,Les Trois-Saints,19121,19,2246,,,
communedebanize@orange.fr,Banize,23016,23,183,,45.931859,1.997896
commune-de-bonnefond@orange.fr,Bonnefond,19027,19,115,,45.529741,1.982553
