societe_recherchee,siren,denomination
Neoen,440947406,NEOEN DEVELOPPEMENT
Neoen,508320017,NEOEN
Neoen,752930214,NEOENERGIE
Fonroche Energie,NON TROUVE,NON TROUVE
Akuo Energy,495259061,AKUO ENERGY SAS
Arkolia Energies,509835104,ARKOLIA ENERGIES
Qair Group,NON TROUVE,NON TROUVE
Valorem,443925763,SCI AD VALOREM
Valorem,532300217,VALOREMM
Valorem,537831786,TERRA VALOREM
Valorem,821429693,SCI VALOREM
Valorem,821645728,GENUS VALOREM
Eolfi,NON TROUVE,NON TROUVE
Voltalia,NON TROUVE,NON TROUVE
Engie Green,421128372,ENGIE GREEN BERNES EXTENSION
Engie Green,798710562,ENGIE GREEN VOUILLON
Engie Green,811103639,ENGIE GREEN POULDERGAT
Engie Green,811103712,ENGIE GREEN GRAZAS
TotalEnergies Renewables,NON TROUVE,NON TROUVE
EDF Renouvelables,379677636,EDF RENOUVELABLES
CNR,411153950,CNR CONSTRUCTION NEUVE ET RENOVATION
CNR,412123382,CLUB DES NATURISTES ROUENNAIS CNR
CNR,420105173,SCI CNRT DESSAUX
CNR,523820405,SCI CNR
CNR,751847583,SOCIETE CIVILE IMMOBILIERE CCNR
RWE Renewables France,NON TROUVE,NON TROUVE
BayWa r.e.,NON TROUVE,NON TROUVE
Iberdrola France,NON TROUVE,NON TROUVE
VSB Energies Nouvelles,439697178,VSB ENERGIES NOUVELLES
Amarenco,NON TROUVE,NON TROUVE
SolaireDirect,U17327126,EURL SOLAIREDIRECT PROPERTIES
Sonnedix France,NON TROUVE,NON TROUVE
Photosol,539701854,PHOTOSOL SPV 5
Photosol,U20486298,PHOTOSOL SPV 2
Photosol,U20486323,PHOTOSOL SPV 25
Reden Solar,NON TROUVE,NON TROUVE
Tenergie,510202385,CORTENERGIE
Sergies,437598782,SERGIES
CVE,377483870,ROCVER
CVE,390292647,SCI ROCVEL
CVE,390780591,PICVERT
CVE,393634613,SICVEN FRANCE
CVE,419915996,JACVER
Corfu Solaire,NON TROUVE,NON TROUVE
Albioma,352694061,ALBIOMA BOIS-ROUGE
Albioma,383599214,ALBIOMA LE GOL
Albioma,403215569,ALBIOMA LE MOULE
Albioma,477991046,ALBIOMA GALION
Albioma,493431043,ALBIOMA SOLAIRE GUYANE
